request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_26,15656000,affordable_now,full_payment,2025-08-03:15656000,2025-08-03,none,"Pay IDR 15,656,000 today. The 90-day forecast keeps at least IDR 24,768,300 available."
request_27,6670,affordable_now,full_payment,2026-07-05:6670,2026-07-05,none,"Pay ZAR 6,670 today. The 90-day forecast keeps at least ZAR 20,500 available."
request_28,290.45,affordable_later,wait,2024-07-15:1302.40,2024-07-15,none,"Wait until 2024-07-15, then pay EUR 1,302.40 in full without taking the forecast below the EUR 1,100 minimum."
request_29,29161,not_affordable,not_recommended,none,,none,"Do not proceed with ZAR 51,524. No eligible plan completes the request within 90 days while protecting the ZAR 28,300 minimum."
request_30,775.2,affordable_with_plan,installments,2026-04-06:268.74|2026-05-06:268.74|2026-06-05:268.74,2026-04-06,none,"Use 3 installments of USD 268.74, starting 2026-04-06. The 90-day forecast protects the USD 900 minimum."
request_31,3501197,affordable_later,wait,2024-11-15:18164000,2024-11-15,none,"Wait until 2024-11-15, then pay IDR 18,164,000 in full without taking the forecast below the IDR 16,588,900 minimum."
request_32,13329.26,affordable_later,wait,2025-04-15:40018,2025-04-15,none,"Wait until 2025-04-15, then pay ZAR 40,018 in full without taking the forecast below the ZAR 35,700 minimum."
request_33,36917.04,affordable_later,wait,2026-02-15:118000,2026-02-15,none,"Wait until 2026-02-15, then pay INR 118,000 in full without taking the forecast below the INR 102,100 minimum."
request_34,129400,affordable_now,full_payment,2024-12-04:129400,2024-12-04,none,"Pay INR 129,400 today. The 90-day forecast keeps at least INR 138,500 available."
request_35,36903.98,affordable_later,wait,2026-01-15:212000,2026-01-15,none,"Wait until 2026-01-15, then pay INR 212,000 in full without taking the forecast below the INR 106,400 minimum."
request_36,593.72,affordable_later,wait,2026-08-15:3954,2026-08-15,none,"Wait until 2026-08-15, then pay USD 3,954 in full without taking the forecast below the USD 2,400 minimum."
request_37,4372586.49,affordable_later,wait,2024-03-15:14649000,2024-03-15,none,"Wait until 2024-03-15, then pay IDR 14,649,000 in full without taking the forecast below the IDR 17,056,200 minimum."
request_38,172.13,affordable_later,wait,2025-09-15:971.30,2025-09-15,none,"Wait until 2025-09-15, then pay EUR 971.30 in full without taking the forecast below the EUR 400 minimum."
request_39,57482.31,affordable_later,wait,2026-05-15:208600,2026-05-15,none,"Wait until 2026-05-15, then pay INR 208,600 in full without taking the forecast below the INR 213,400 minimum."
request_40,354.99,affordable_later,wait,2024-08-15:1290.30,2024-08-15,none,"Wait until 2024-08-15, then pay EUR 1,290.30 in full without taking the forecast below the EUR 1,500 minimum."
request_41,8842979.38,affordable_later,wait,2025-12-15:38760000,2025-12-15,none,"Wait until 2025-12-15, then pay IDR 38,760,000 in full without taking the forecast below the IDR 25,366,600 minimum."
request_42,52100,affordable_now,full_payment,2026-01-05:52100,2026-01-05,none,"Pay INR 52,100 today. The 90-day forecast keeps at least INR 113,100 available."
request_43,8265644.45,affordable_later,wait,2024-10-15:43339000,2024-10-15,none,"Wait until 2024-10-15, then pay IDR 43,339,000 in full without taking the forecast below the IDR 21,398,000 minimum."
request_44,30648.52,affordable_later,wait,2025-04-15:95800,2025-04-15,none,"Wait until 2025-04-15, then pay INR 95,800 in full without taking the forecast below the INR 82,900 minimum."
request_45,3375469.26,affordable_later,wait,2026-08-15:21983000,2026-08-15,none,"Wait until 2026-08-15, then pay IDR 21,983,000 in full without taking the forecast below the IDR 11,149,800 minimum."
request_46,38731.91,affordable_with_plan,partial_payment,2024-12-03:38731.91|2024-12-15:10718.09,2024-12-15,none,"Pay INR 38,731.91 today and INR 10,718.09 on 2024-12-15. The plan protects the INR 84,000 minimum."
request_47,12178530.66,not_affordable,not_recommended,none,,none,"Do not proceed with IDR 38,114,000. No eligible plan completes the request within 90 days while protecting the IDR 30,049,000 minimum."
request_48,45700,affordable_now,full_payment,2026-07-25:45700,2026-07-25,none,"Pay INR 45,700 today. The 90-day forecast keeps at least INR 71,300 available."
request_49,12591877.97,affordable_with_plan,installments,2024-03-18:11902106.67|2024-04-18:11902106.67|2024-05-19:11902106.67,2024-04-15,none,"Use 3 installments of IDR 11,902,106.67, starting 2024-03-18. The 90-day forecast protects the IDR 20,275,700 minimum."
request_50,43900,affordable_now,full_payment,2025-08-06:43900,2025-08-06,none,"Pay INR 43,900 today. The 90-day forecast keeps at least INR 99,700 available."
request_51,2191000,affordable_now,full_payment,2026-01-03:2191000,2026-01-03,none,"Pay IDR 2,191,000 today. The 90-day forecast keeps at least IDR 7,811,000 available."
request_52,19203.09,affordable_later,wait,2024-06-15:28870,2024-06-15,none,"Wait until 2024-06-15, then pay INR 28,870 in full without taking the forecast below the INR 41,500 minimum."
request_53,459.63,affordable_with_plan,installments,2025-11-21:589.06|2025-12-19:589.06|2026-01-16:589.06,2025-12-15,none,"Use 3 installments of USD 589.06, starting 2025-11-21. The 90-day forecast protects the USD 2,100 minimum."
request_54,2047.74,not_affordable,not_recommended,none,,none,"Do not proceed with ZAR 121,528. No eligible plan completes the request within 90 days while protecting the ZAR 37,000 minimum."
request_55,124258.73,affordable_with_plan,installments,2026-06-11:75781.33|2026-07-12:75781.33|2026-08-12:75781.33,2026-07-15,none,"Use 3 installments of INR 75,781.33, starting 2026-06-11. The 90-day forecast protects the INR 124,300 minimum."
request_56,632.34,affordable_with_plan,partial_payment,2025-02-03:632.34|2025-02-15:249.22,2025-02-15,none,"Pay USD 632.34 today and USD 249.22 on 2025-02-15. The plan protects the USD 2,100 minimum."
request_57,12809.2,affordable_later,wait,2026-06-15:61446,2026-06-15,none,"Wait until 2026-06-15, then pay ZAR 61,446 in full without taking the forecast below the ZAR 42,700 minimum."
request_58,16226000,affordable_now,full_payment,2024-12-07:16226000,2024-12-07,none,"Pay IDR 16,226,000 today. The 90-day forecast keeps at least IDR 14,433,900 available."
request_59,140600,affordable_with_plan,installments,2025-05-07:48741.33|2025-06-04:48741.33|2025-07-02:48741.33,2025-05-04,none,"Use 3 installments of INR 48,741.33, starting 2025-05-07. The 90-day forecast protects the INR 132,600 minimum."
request_60,115.22,affordable_later,wait,2026-01-15:199.89,2026-01-15,none,"Wait until 2026-01-15, then pay USD 199.89 in full without taking the forecast below the USD 400 minimum."
request_61,29062,affordable_with_plan,installments,2024-03-17:10074.83|2024-04-17:10074.83|2024-05-18:10074.83,2024-03-03,none,"Use 3 installments of ZAR 10,074.83, starting 2024-03-17. The 90-day forecast protects the ZAR 36,700 minimum."
request_62,404.23,affordable_now,full_payment,2025-08-05:404.23,2025-08-05,none,"Pay USD 404.23 today. The 90-day forecast keeps at least USD 1,300 available."
request_63,37371.37,not_affordable,not_recommended,none,,none,"Do not proceed with INR 343,900. No eligible plan completes the request within 90 days while protecting the INR 153,500 minimum."
request_64,0,not_affordable,not_recommended,none,,none,"Do not proceed with INR 63,700. No eligible plan completes the request within 90 days while protecting the INR 36,100 minimum."
request_65,5896.45,not_affordable,not_recommended,none,,none,"Do not proceed with ZAR 54,340. No eligible plan completes the request within 90 days while protecting the ZAR 15,500 minimum."
request_66,22200,affordable_now,full_payment,2026-04-03:22200,2026-04-03,none,"Pay INR 22,200 today. The 90-day forecast keeps at least INR 80,700 available."
request_67,378.62,affordable_later,wait,2024-11-15:2094,2024-11-15,none,"Wait until 2024-11-15, then pay USD 2,094 in full without taking the forecast below the USD 1,200 minimum."
request_68,1325.46,affordable_with_plan,installments,2025-02-14:725.09|2025-03-14:725.09|2025-04-11:725.09,2025-03-23,none,"Use 3 installments of USD 725.09, starting 2025-02-14. The 90-day forecast protects the USD 1,500 minimum."
request_69,529.1,affordable_now,full_payment,2026-01-04:529.10,2026-01-04,none,Pay EUR 529.10 today. The 90-day forecast keeps at least EUR 700 available.
request_70,50595.49,affordable_later,wait,2025-01-15:243900,2025-01-15,none,"Wait until 2025-01-15, then pay INR 243,900 in full without taking the forecast below the INR 115,000 minimum."
request_71,567255.67,not_affordable,not_recommended,none,,none,"Do not proceed with IDR 21,451,000. No eligible plan completes the request within 90 days while protecting the IDR 8,884,800 minimum."
request_72,11330,affordable_now,full_payment,2026-07-05:11330,2026-07-05,none,"Pay ZAR 11,330 today. The 90-day forecast keeps at least ZAR 12,200 available."
request_73,71400,affordable_now,full_payment,2023-01-20:71400,2023-01-20,none,"Pay INR 71,400 today. The 90-day forecast keeps at least INR 103,200 available."
request_74,5010,affordable_now,full_payment,2025-08-04:5010,2025-08-04,none,"Pay ZAR 5,010 today. The 90-day forecast keeps at least ZAR 21,900 available."
request_75,23101.81,not_affordable,not_recommended,none,,none,"Do not proceed with ZAR 28,270. No eligible plan completes the request within 90 days while protecting the ZAR 39,000 minimum."
request_76,707.05,not_affordable,not_recommended,none,2024-08-15,none,"Do not complete USD 4,455.60 by the requested date. Only USD 707.05 is safe today, and no eligible plan meets the deadline while protecting the USD 1,800 minimum."
request_77,60137.43,affordable_with_plan,full_payment,2025-11-05:60700,2025-11-15,stop:event_7143,"Apply the listed flexible-spending changes, then pay INR 60,700 today. The 90-day forecast keeps at least INR 82,200 available."
request_78,49345.66,affordable_with_plan,full_payment,2025-10-02:50200,2025-10-15,reduce_to:event_7225:1480,"Apply the listed flexible-spending changes, then pay INR 50,200 today. The 90-day forecast keeps at least INR 55,200 available."
request_79,310.96,not_affordable,not_recommended,none,2024-11-15,none,"Do not complete EUR 2,151.60 by the requested date. Only EUR 310.96 is safe today, and no eligible plan meets the deadline while protecting the EUR 1,000 minimum."
request_80,109753.33,not_affordable,not_recommended,none,2025-04-15,none,"Do not complete INR 217,500 by the requested date. Only INR 109,753.33 is safe today, and no eligible plan meets the deadline while protecting the INR 121,300 minimum."
request_81,2076,affordable_now,full_payment,2026-07-03:2076,2026-07-03,none,"Pay USD 2,076 today. The 90-day forecast keeps at least USD 1,600 available."
request_82,359.04,affordable_later,wait,2024-12-15:1405.20,2024-12-15,none,"Wait until 2024-12-15, then pay USD 1,405.20 in full without taking the forecast below the USD 1,100 minimum."
request_83,7202.62,not_affordable,not_recommended,none,,none,"Do not proceed with INR 156,200. No eligible plan completes the request within 90 days while protecting the INR 37,800 minimum."
request_84,21595.66,affordable_later,wait,2026-05-15:95400,2026-05-15,none,"Wait until 2026-05-15, then pay INR 95,400 in full without taking the forecast below the INR 91,300 minimum."
request_85,401294.33,not_affordable,not_recommended,none,,none,"Do not proceed with IDR 19,304,000. No eligible plan completes the request within 90 days while protecting the IDR 6,396,300 minimum."
request_86,46300,affordable_now,full_payment,2025-08-03:46300,2025-08-03,none,"Pay INR 46,300 today. The 90-day forecast keeps at least INR 84,900 available."
request_87,17506.36,not_affordable,not_recommended,none,,none,"Do not proceed with INR 487,900. No eligible plan completes the request within 90 days while protecting the INR 185,900 minimum."
request_88,10715.83,affordable_with_plan,installments,2024-06-14:9045.23|2024-07-15:9045.23|2024-08-15:9045.23,2024-06-15,none,"Use 3 installments of ZAR 9,045.23, starting 2024-06-14. The 90-day forecast protects the ZAR 25,800 minimum."
request_89,9369889.7,affordable_with_plan,installments,2025-11-18:4768746.67|2025-12-16:4768746.67|2026-01-13:4768746.67,2025-12-15,reduce_to:event_8337:266760,"Use 3 installments of IDR 4,768,746.67, starting 2025-11-18. The 90-day forecast protects the IDR 12,534,700 minimum."
request_90,2560,affordable_now,full_payment,2026-07-06:2560,2026-07-06,none,"Pay ZAR 2,560 today. The 90-day forecast keeps at least ZAR 7,600 available."
